CASENUMBER,TYPEOFBUSINESS,TYPEOFCOMPLAINT,OPENDATE,CLOSEDATE,OUTCOME,LONGITUDE,LATITUDE
2021 065684-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,5/3/2021,5/3/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 065534-CC,Construction,Eviction,5/3/2021,,,-97.70342062,30.31852907
2021 065444-CC,Residential,Eviction,5/3/2021,,,-97.78930256,30.18992232
2021 064977-CC,Apartment Common Area,Face Covering Non-Compliance - Business,5/2/2021,5/2/2021,No Violation(s) Found/Inspection Performed,-97.76384635,30.25292435
2021 064958-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,5/2/2021,5/2/2021,No Violation(s) Found/Inspection Performed,-97.83951296,30.22362217
2021 064935-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,5/1/2021,5/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 064916-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,5/1/2021,5/1/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 064851-CC,Other (Describe in Comments),Face Covering,5/1/2021,5/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 064821-CC,Residential,Eviction,4/30/2021,,,-97.70342062,30.31852907
2021 064820-CC,Other (Describe in Comments),Face Covering,4/30/2021,5/1/2021,No Violation(s) Found/Inspection Performed,-97.74041503,30.39031158
2021 064811-CC,Other (Describe in Comments),Face Covering,4/30/2021,5/1/2021,No Violation(s) Found/Inspection Performed,-97.74181515,30.26734524
2021 064757-CC,Residential,Eviction,4/30/2021,,,-97.70342062,30.31852907
2021 064526-CC,Residential,Eviction,4/30/2021,,,-88.448709,24.923983
2021 064486-CC,Residential,Eviction,4/30/2021,,,-97.6858475,30.35460165
2021 064327-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/30/2021,4/30/2021,No Violation(s) Found/Inspection Performed,-97.82271573,30.28056708
2021 064078-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/29/2021,4/30/2021,No Violation(s) Found/Inspection Performed,-97.71622964,30.34997755
2021 063820-CC,Residential,Eviction,4/29/2021,,,-97.76037004,30.28071524
2021 063354-CC,Other (Describe in Comments),Social Distancing,4/28/2021,4/28/2021,No Violation(s) Found/Inspection Performed,-97.7098555,30.32522487
2021 063157-CC,Other (Describe in Comments),Face Covering,4/28/2021,4/28/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 063018-CC,Other (Describe in Comments),Face Covering,4/28/2021,,,-97.70804799,30.29948235
2021 062948-CC,Other (Describe in Comments),Face Covering,4/28/2021,4/30/2021,Closed/Duplicate Case,-97.70804799,30.29948235
2021 062065-CC,Residential,Eviction,4/27/2021,4/28/2021,Closed/Duplicate Case,-97.71329899,30.23653756
2021 061637-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/26/2021,4/27/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 061602-CC,Residential,Eviction,4/26/2021,,,-97.71329899,30.23653756
2021 061581-CC,Apartment Common Area,Over Occupancy,4/26/2021,4/28/2021,No Violation(s) Found/Inspection Performed,-97.77499154,30.2077754
2021 061564-CC,Other (Describe in Comments),Over Occupancy,4/26/2021,4/27/2021,No Violation(s) Found/Inspection Performed,-97.68097995,30.33786336
2021 061340-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/26/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 061302-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/26/2021,4/26/2021,Referred to Appropriate Agency,-97.78352383,30.23008838
2021 061139-CC,Apartment Common Area,Over Occupancy,4/26/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-97.76233768,30.2563739
2021 060957-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/25/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-97.74246736,30.3086308
2021 060876-CC,Apartment Common Area,Face Covering Non-Compliance - Business,4/25/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-97.72519917,30.40071524
2021 060875-CC,Bar,Face Covering Non-Compliance - Business,4/25/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-97.72311756,30.40084601
2021 060874-CC,Restaurant,Face Covering Non-Compliance - Business,4/25/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-97.72380901,30.40273698
2021 060856-CC,Apartment Common Area,Face Covering Non-Compliance - Business,4/25/2021,4/25/2021,No Violation(s) Found/Inspection Performed,-97.76384635,30.25292435
2021 060840-CC,Restaurant,Face Covering Non-Compliance - Business,4/25/2021,4/25/2021,No Violation(s) Found/Inspection Performed,-97.74041503,30.39031158
2021 060724-CC,Other (Describe in Comments),Social Distancing,4/25/2021,4/25/2021,No Violation(s) Found/Inspection Performed,-97.72824677,30.26009874
2021 060716-CC,Other (Describe in Comments),Over Occupancy,4/24/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-97.73390779,30.26427553
2021 060701-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/24/2021,4/26/2021,No Violation(s) Found/Inspection Performed,-97.75080327,30.21463118
2021 060602-CC,Other (Describe in Comments),Over Occupancy,4/24/2021,4/24/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 060571-CC,Apartment Common Area,Over Occupancy,4/24/2021,4/24/2021,No Violation(s) Found/Inspection Performed,-97.77499154,30.2077754
2021 060488-CC,Restaurant,Over Occupancy,4/23/2021,4/24/2021,No Violation(s) Found/Inspection Performed,-97.72692056,30.35394128
2021 060437-CC,Other (Describe in Comments),Face Covering,4/23/2021,4/24/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 060339-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/23/2021,4/24/2021,No Violation(s) Found/Inspection Performed,-97.74192487,30.29095763
2021 060018-CC,Restaurant,Face Covering Non-Compliance - Business,4/23/2021,4/23/2021,No Violation(s) Found/Inspection Performed,-97.7139877,30.28492425
2021 059845-CC,Other (Describe in Comments),Face Covering,4/23/2021,4/23/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 059761-CC,Other (Describe in Comments),Over Occupancy,4/22/2021,4/23/2021,No Violation(s) Found/Inspection Performed,-97.72866457,30.25992331
2021 059669-CC,Residential,Eviction,4/22/2021,4/27/2021,COVID-19/Education Provided,-97.69607263,30.42359657
2021 058485-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/21/2021,4/21/2021,No Violation(s) Found/Inspection Performed,-97.79975235,30.20022034
2021 058309-CC,Restaurant,Face Covering Non-Compliance - Business,4/20/2021,4/21/2021,No Violation(s) Found/Inspection Performed,-97.74508281,30.39979991
2021 058275-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/20/2021,4/20/2021,No Violation(s) Found/Inspection Performed,-97.66836372,30.21870805
2021 058144-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/20/2021,4/20/2021,No Violation(s) Found/Inspection Performed,-97.68097995,30.33786336
2021 058096-CC,Residential,Eviction,4/20/2021,4/23/2021,COVID-19/Education Provided,-88.448709,24.923983
2021 058007-CC,Restaurant,Over Occupancy,4/20/2021,4/20/2021,No Violation(s) Found/Inspection Performed,-97.74157952,30.29781226
2021 057954-CC,Residential,Eviction,4/20/2021,4/28/2021,COVID-19/Education Provided,-88.448709,24.923983
2021 057944-CC,Residential,Eviction,4/20/2021,4/22/2021,COVID-19/Education Provided,-97.83195285,30.17613953
2021 057881-CC,Other (Describe in Comments),Over Occupancy,4/20/2021,4/21/2021,No Violation(s) Found/Inspection Performed,-97.76063917,30.18159093
2021 057486-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/19/2021,4/20/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 057366-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/19/2021,4/19/2021,No Violation(s) Found/Inspection Performed,-97.70249368,30.355288
2021 057274-CC,Residential,Eviction,4/19/2021,4/23/2021,COVID-19/Education Provided,-97.71880528,30.23289803
2021 057066-CC,Other (Describe in Comments),Face Covering,4/19/2021,4/19/2021,Closed/Duplicate Case,-88.448709,24.923983
2021 057042-CC,Other (Describe in Comments),Face Covering,4/19/2021,4/19/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 056846-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/19/2021,4/19/2021,No Violation(s) Found/Inspection Performed,-97.75534827,30.27809777
2021 056827-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/19/2021,4/19/2021,No Violation(s) Found/Inspection Performed,-97.78647441,30.17134288
2021 056648-CC,Other (Describe in Comments),Face Covering,4/19/2021,4/19/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 056620-CC,Other (Describe in Comments),Over Occupancy,4/18/2021,4/19/2021,No Violation(s) Found/Inspection Performed,-97.78100641,30.203968
2021 056566-CC,Restaurant,Face-Covering,4/18/2021,4/18/2021,No Violation(s) Found/Inspection Performed,-97.69063841,30.313057
2021 056525-CC,Other (Describe in Comments),Face Covering,4/17/2021,4/18/2021,No Violation(s) Found/Inspection Performed,-97.74181515,30.26734524
2021 056515-CC,Other (Describe in Comments),Over Occupancy,4/17/2021,4/18/2021,No Violation(s) Found/Inspection Performed,-97.72278111,30.29535424
2021 056514-CC,Restaurant,Face Covering,4/17/2021,4/18/2021,No Violation(s) Found/Inspection Performed,-97.68089269,30.31514128
2021 056513-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/17/2021,4/18/2021,COVID-19/Education Provided,-97.7756371,30.28209214
2021 056512-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/17/2021,4/18/2021,No Violation(s) Found/Inspection Performed,-97.72586366,30.37186314
2021 056501-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/17/2021,4/18/2021,Closed/Duplicate Case,-97.72586366,30.37186314
2021 056496-CC,Other (Describe in Comments),Social Distancing,4/17/2021,4/17/2021,Referred to Appropriate Agency,-97.7838953,30.45748409
2021 056483-CC,Other (Describe in Comments),Social Distancing,4/17/2021,4/17/2021,Referred to Appropriate Agency,-97.7838953,30.45748409
2021 056471-CC,Other (Describe in Comments),Social Distancing,4/17/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-97.7838953,30.45748409
2021 056453-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/17/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-97.78383632,30.20855962
2021 056443-CC,Other (Describe in Comments),Social Distancing,4/17/2021,4/17/2021,Referred to Appropriate Agency,-97.7248589,30.25749675
2021 056440-CC,Other (Describe in Comments),Over Occupancy,4/17/2021,4/18/2021,No Violation(s) Found/Inspection Performed,-97.77000246,30.25748655
2021 056434-CC,Restaurant,Face Covering Non-Compliance - Business,4/17/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 056426-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/17/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-97.83374937,30.15418961
2021 056419-CC,Other (Describe in Comments),Over Occupancy,4/17/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-97.73405996,30.30872463
2021 056392-CC,Other,Eviction,4/17/2021,4/28/2021,COVID-19/Education Provided,-97.73272683,30.23420382
2021 056377-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,4/17/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-97.77048646,30.22456211
2021 056358-CC,Other (Describe in Comments),Face Covering,4/17/2021,4/17/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
